job-title,job-description
Research Scientist,"
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The mission of the Waymo Research team is to develop machine learning solutions addressing open problems in autonomous driving, towards the goal of the safely operating Waymo vehicles in dozens of cities and under all driving conditions. As part of our work, we also initiate and foster collaborations with other research teams in Alphabet. Research areas that we are currently focusing on include perception, behavior prediction and reinforcement learning.
 
In this Research Scientist role, you will:

Research new machine learning problems, models and algorithms
Collaborate on deploying these models on the Waymo vehicles
Initiate and support collaborations with Alphabet researchers on autonomous driving-related research topics
We expect your scope to grow over time as you become an expert in some of the machine learning research areas above, and youâll be initiating and leading increasingly ambitious new projects

 
At a minimum weâd like you to have:

Ph.D. in Computer Science or related quantitative field, or B.S./M.S. in Computer Science or related quantitative field with 5+ years of relevant experience
Experience as a self-directed engineer / research scientist who excels at driving new research ideas from conception and experimentation to productionization
Strong knowledge of machine learning; experience with machine learning research and the experiment-launch-iterate cycle in one or more projects
Outstanding technical leadership and communication skills to lead new research areas and multi-team collaborations
Strong programming skills in C++ or Python
Experience with distributed computing (MapReduce, Flume, etc)

Itâs preferred if you have:

Expertise in one or more of the following areas is a plus: deep learning, computer vision, robotics, reinforcement learning, behavior prediction, SLAM
Research experience and publications in machine learning or related fields is a plus
Experience of using TensorFlow or similar large-scale machine learning systems in production is a plus.
Tech Lead experience is a plus

"
Research Scientist,"
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The mission of the Waymo Research team is to develop machine learning solutions addressing open problems in autonomous driving, towards the goal of the safely operating Waymo vehicles in dozens of cities and under all driving conditions. As part of our work, we also initiate and foster collaborations with other research teams in Alphabet. Research areas that we are currently focusing on include perception, behavior prediction and reinforcement learning.
In this Research Scientist role, you will:

Research new machine learning problems, models and algorithms
Collaborate on deploying these models on the Waymo vehicles
Initiate and support collaborations with Alphabet researchers on autonomous driving-related research topics
We expect your scope to grow over time as you become an expert in some of the machine learning research areas above, and youâll be initiating and leading increasingly ambitious new projects

At a minimum weâd like you to have:

Ph.D. in Computer Science or related quantitative field, or B.S./M.S. in Computer Science or related quantitative field with 5+ years of relevant experience
Experience as a self-directed engineer / research scientist who excels at driving new research ideas from conception and experimentation to productionization
Strong knowledge of machine learning; experience with machine learning research and the experiment-launch-iterate cycle in one or more projects
Outstanding technical leadership and communication skills to lead new research areas and multi-team collaborations
Strong programming skills in C++ or Python

Itâs preferred if you have:

Expertise in one or more of the following areas is a plus: deep learning, robotics, reinforcement learning, imitation learning, and optimal control.
Research experience and publications in machine learning or related fields is a plus
Experience with distributed computing (MapReduce, Flume, etc)
Experience of using TensorFlow or similar large-scale machine learning systems in production is a plus.
Tech Lead experience is a plus

 
Competitive Salary Offered
Opening date: 25 June 2020
"
"Robotics Software Engineer, Behavior Prediction","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully self-driving vehicles. Our software allows our vehicles to perceive the world around them, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and deep learning, while collaborating with hardware and systems engineers. If youâre a software engineer or researcher whoâs curious and passionate about Level 4 autonomous driving, we'd like to meet you. 
In this planner and controls role, youâll:

Build motion planning and decision-making systems for the self-driving vehicles, ensuring that the behavior of our vehicles is safe, smooth, and predictable to other road users
Build robust solutions to cutting-edge driving problems
Improve how our vehicles act and react in complex and nuanced situations
Grow a fundamental understanding of the next driving challenges by analyzing real-world logs collected on our state-of-the-art fleet

Weâd like you to have: 

MS/PHD in Computer Science, Robotics, similar technical field of study, or equivalent practical experience
Experience in at least one of: robotics research in motion planning and control (e.g., trajectory optimization, planning under uncertainty, probabilistic robotics, optimal control, guidance, navigation and control, etc.), data analysis at scale, machine learning at scale
Experience in data structures and advanced algorithms
Experience programming in C++ and with robust, safety-critical, efficient code
Experience solving software problems using geometry and linear algebra

"
Software Engineer - Inertial Navigation,"
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Hardware Engineering is a diverse, innovative, and collaborative group of electrical, mechanical, reliability, software and vehicle engineers. We design, build, and perfect the products which are the eyes and ears of Waymo's self-driving systems, and integrate those products into vehicle platforms. We're seeking curious and talented teammates to keep us moving in the right direction.
The Positioning team at Waymo is responsible for determining the location, orientation and velocity of the car. We do everything from selecting IMUâs and writing firmware, to implementing estimation algorithms like Kalman and particle filters, to analyzing safety and redundancy system architectures.
In this role, you'll:

Develop and run large scale optimization and estimation routines. Replay and simulate using existing log data to characterize performance, tune parameters, identify failures and provide performance guarantees
Integrate sensors into pose estimation and inertial navigation algorithms for deployment on the self driving car. Examples include Kalman filters, EKF, UKF, particle filters, etc.
Investigate sensor and filter performance issues. Debug through replay, simulation, residual-analysis and on-car testing

At a minimum weâd like you to have:

PhD or M.S. degree with equivalent experience in fields such as estimation, optimization, statistics, modeling, dynamics, control, etc.
5+ years of C++ programming experience

Itâs preferred if you have:

Domain knowledge and implementation experience with Kalman filtering, inertial sensors, and sensor fusion. Real world experience with system integration and deployment
Experience with real-time robot/vehicle/drone positioning and localization
System dynamics and kinematics modeling for ground vehicles

"
"Software Engineer - Optimization, Benchmark and Tooling, Compute ","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Hardware Engineering is a diverse, innovative, and collaborative group of electrical, mechanical, reliability, software and vehicle engineers. We design, build, and perfect the products which are the eyes and ears of Waymo's self-driving systems, and integrate those products into vehicle platforms. We're seeking curious and talented teammates to keep us moving in the right direction.
In this Software Engineering role, you'll:

Collaborate with engineers from different teams such as planning and perception to benchmark and characterize our compute workload
Create and deploy low overhead tools to our fleet to further our understanding of the dynamics of our systems
Use this understanding of our workload to optimize the performance of our systems

At a minimum weâd like you to have:

BS degree in Computer Science or equivalent practical experience
5+ years of industry experience with C/C++ and while working on performance critical real-time systems

Itâs preferred if you have:

Extensive knowledge of computer architecture
Experience with a diverse set of hardware such as CPUs, GPUs, DSPs, Neural network accelerators etc
Experience with benchmarking and performance optimization of complex systems

"
"Software Engineer, Analysis Infrastructure","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The data infrastructure and analysis team owns data, solution, infrastructure and tooling for data driven decision making across Waymo. Our scope includes data processing infrastructure and pipelines, and data warehouse empowering reporting and business analysis.
Your work will help steer potentially multi-billion dollar business, and you will be a leading member of a growing team. You will have high-visibility within a cross-function (product, finance, marketing, legal, partnerships, operations, etc.) org, and you will develop new skills in the areas of Analytics, Growth, Big Data and Data Science. 
 
This position requires experience in three or more of the following:
 Key skills/attributes desired:
* A strong business focus: Our users are other teams and executives within Waymo
* Passion and experience on large-scale data infrastructure, including storage systems, query engines, and pipelines.
* Experience with C++, Python, GoogleSQL, Colab
* Creativity: High-threshold for experimentation and project exploration
* Self-driven, passion to work in a fast-paced environment.
 
Minimum qualifications:

BS/MS in Computer Science or related technical field or equivalent practical experience

Preferred qualifications:

PhD with 3 years of experience in database, query/retrieval engines, or analytical frameworks.
Experience with and/or knowledge on data science/statistics.

"
"Software Engineer, Android Platform OS and Infotainment ","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The UX Engineering team is hiring to help build out the Android OS and entertainment media layers and verticals of our in-car software stack. In this role, you will focus on developing the in-car UX operating system, system services and media stack, as well as user-facing entertainment solutions.
We are looking for a passionate engineer with a track record of bringing awesome products to market. You will work on an Android device to deliver a rock-solid platform on which we deliver the in-car UX and media experience. The team works closely with a small cross-functional team of product managers, hardware engineers, designers and UX researchers, as well as the vehicle engineers and AI experts to experiment and iterate towards bringing this technology to customers.
This position requires experience in three or more of the following:
4+ years of experience in building and shipping Android solutions

Android platform
Experience with shipping hardware/devices running Android
Android system services and/or applications
Client-server protocols
Focus on platform stability and performance
Strong communication skills, being able to collaborate with the wider Waymo team (product managers, hardware engineers, designers, vehicle and robotics engineers, and executives)

Minimum qualifications:

BS/MS in Computer Science or related technical field or equivalent practical experience

Preferred qualifications:

Experience with C++ on Android
Experience with novel Android devices, developing new system services and/or Android applications
Experience with and/or knowledge of full-stack media and entertainment solutions
Experience with chromecast, audio protocols, or other media-specific technologies


"
"Software Engineer, Behavior & Planning, Trucking","
      Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
As Waymo is becoming a multi-product company, Trucking is our second largest opportunity and will see massive growth in 2020. We believe that commercial trucking, the backbone of our economy, stands to reap untold benefits by deploying autonomous trucks, particularly during long-haul stretches. Roads will be safer. Goods will be cheaper. Truckers will be called upon to use their skills in new ways while the truck itself becomes a trusted navigation partner. 
In this role, you'll be working with a small but rapidly growing team, benefitting from shared technology of the greater Waymo and Alphabet organizations. Our team is made up of robotics specialists from some of the leading technology companies of our time - with deep expertise in artificial intelligence, machine learning, and real-world deployment of advanced technology.
Responsibilities:

Build robust solutions to cutting-edge driving problems creatively and collaboratively
Improve how the truck acts and reacts in complex and nuanced situations
Grow a fundamental understanding of the next driving challenges by analyzing real-world data collected on our state-of-the-art fleet
Work cross-functionally across Waymoâs Core Planning, Research and Simulation teams to drive new features to completion

Minimum Qualifications:

MS degree in Computer Science, Robotics, similar technical field of study, or equivalent practical experience
Experience in at least one of: robotics research in motion planning and control (e.g., trajectory optimization, planning under uncertainty, probabilistic robotics, optimal control, guidance, navigation and control, etc.), data analysis at scale, machine learning at scale
Experience in data structures and advanced algorithms
Experience programming in C++

Preferred Qualifications:

Experience solving software problems using geometry and linear algebra
Experience writing robust, safety-critical, efficient code
Experience optimizing highly performant C++ code
Experience designing complex software systems and interface

"
"Software Engineer, Behavior Prediction, Deep Learning","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully self-driving vehicles. Our software allows our vehicles to perceive the world around them, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and deep learning, while collaborating with hardware and systems engineers. If youâre a software engineer whoâs curious and passionate about Level 4 autonomous driving, we'd like to meet you.
In this role, you will:

Find new ways to apply deep learning to predict the future behavior of other road users
Creatively and collaboratively build new deep learning models that can predict the future behavior of other road users in real-time
Develop efficient Deep Learning architectures that can run in real-time
Grow a fundamental understanding of the next prediction challenges by analyzing real-world logs collected on our state-of-the-art fleet

Minimum Qualifications:

PhD in Computer Science, Machine Learning, Robotics, similar technical field of study, or equivalent practical experience
Experience in applied Machine Learning including data collection, analysis and feature engineering
Experience in Deep Learning research
Experience with TensorFlow
Experience programming in Python/C++

Preferred Qualifications:

Experience in applying ML for control or planning problems (e.g. Imitation Learning, Behavior Prediction, Reinforcement Learning)
Experience with deploying Deep Learning models for real-time applications, or other resource constrained setting
Experience with a wide variety of Deep Learning Models (e.g. LSTM, RNN, CNN, VAE, GAN, etc.)

"
"Software Engineer, Evaluation, Trucking","
      Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
As Waymo is becoming a multi-product company, Trucking is our second largest opportunity and will see massive growth in 2020. We believe that commercial trucking, the backbone of our economy, stands to reap untold benefits by deploying autonomous trucks, particularly during long-haul stretches. Roads will be safer. Goods will be cheaper. Truckers will be called upon to use their skills in new ways while the truck itself becomes a trusted navigation partner. 
In this role, you'll be working with a small but rapidly growing team, benefitting from shared technology of the greater Waymo and Alphabet organizations. Our team is made up of robotics specialists from some of the leading technology companies of our time - with deep expertise in artificial intelligence, machine learning, and real-world deployment of advanced technology.
Responsibilities:

Build robust solutions to cutting-edge driving problems creatively and collaboratively
Improve how the truck acts and reacts in complex and nuanced situations
Grow a fundamental understanding of the next driving challenges by analyzing real-world data collected on our state-of-the-art fleet
Work cross-functionally across Waymoâs Core Planning, Research and Simulation teams to drive new features to completion

Minimum Qualifications:

MS degree in Computer Science, Robotics, similar technical field of study, or equivalent practical experience
Experience in at least one of: robotics research in motion planning and control (e.g., trajectory optimization, planning under uncertainty, probabilistic robotics, optimal control, guidance, navigation and control, etc.), data analysis at scale, machine learning at scale
Experience in data structures and advanced algorithms
Experience programming in C++

Preferred Qualifications:

Experience solving software problems using geometry and linear algebra
Experience writing robust, safety-critical, efficient code
Experience optimizing highly performant C++ code
Experience designing complex software systems and interface

"
"Software Engineer, Lidar Systems","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Hardware Engineering is a diverse, innovative, and collaborative group of electrical, mechanical, reliability, software and vehicle engineers. We design, build, and perfect the products which are the eyes and ears of Waymo's self-driving systems, and integrate those products into vehicle platforms. We're seeking curious and talented teammates to keep us moving in the right direction.
In this role, you'll:

Design and implement data and control flow needed to integrate new LIDAR into the self driving car
Develop, deploy, and optimize custom hardware drivers 
Develop novel calibration processes involving multiple sensors and actuation stages in the loop
Analyze data collected from sensor systems, and develop tools to help do so
Support sensor manufacturing by customizing existing systems to improve test integration, assembly tracking, and reporting pipelines
Design core blocks for FPGAs

At a minimum weâd like you to have:

BS or MS in Computer Science, Physics, or related field or equivalent experience
4+ years of C++ or Python programming experience
Proficient in numerical analysis and data visualization with tools such as Matlab, NumPy, or Matplotlib

Itâs preferred if you have:

Phd in Computer Science, Physics, or related field or research experience
5-10 years of C++ or Python programming experience
Experience with communication interfaces (I2C, RS232, USB, Ethernet)
Comfort in C++ programming if Python is your primary coding language
Experience with RTL design, System Verilog, and embedded systems
Familiarity with HLS for FPGA

"
"Software Engineer, Machine Learning, Planner/Behavior Prediction","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully self-driving vehicles. Our software allows our vehicles to perceive the world around them, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and machine learning, while collaborating with hardware and systems engineers. If youâre a software engineer or researcher whoâs curious and passionate about Level 4 autonomous driving, we'd like to meet you.
In this role, youâll:

Work with a creative team of people who are responsible for ensuring that the behavior of our cars is safe, smooth, and predictable to other road users, which includes gracefully handling many complex situations involving social aspects (merging, negotiating narrow roads, etc), while dealing with noisy, uncertain, and incomplete information.
Frame the open-ended real-world problems into well-defined ML problems; develop and apply cutting-edge ML approaches (deep learning, reinforcement learning, imitation learning, decision trees, etc) to these problems; scale them to Google-sized data pipelines; and streamline them to run in real-time on the cars.
Collaborate with other teams, including the ML infrastructure, perception and systems engineering teams, as well as various research teams such as Waymo research, Google Brain, DeepMind and academia.

At a minimum weâd like you to have:

MS/PHD in Computer Science, Robotics, similar technical field of study, or equivalent practical experience
Experience solving problems using Machine Learning with Tensorflow or equivalent tools
Ability to collaborate within and across teams
Strong experience programming in C++ with robust and efficient code

Itâs preferred if you have:


Experience specifically with applying Machine Learning to solve motion planning or related robotics problems


Experience with Deep Learning Models (e.g. RNN/LSTM, CNN, VAE, GAN, etc.)




"
"Software Engineer, Machine Learning, Research","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Software Engineering builds the brains of Waymo's fully self-driving vehicles. Our software allows our vehicles to perceive the world around them, make the right decision for every situation, and deliver people safely to their destinations. We think deeply and solve complex technical challenges in areas like robotics, perception, decision-making and machine learning, while collaborating with hardware and systems engineers. If youâre a software engineer or researcher whoâs curious and passionate about Level 4 autonomous driving, we'd like to meet you.
In this role, youâll:

Work with a creative team of people who are responsible for ensuring that the behavior of our cars is safe, smooth, and predictable to other road users, which includes gracefully handling many complex situations involving social aspects (merging, negotiating narrow roads, etc), while dealing with noisy, uncertain, and incomplete information.
Frame the open-ended real-world problems into well-defined ML problems; develop and apply cutting-edge ML approaches (deep learning, reinforcement learning, imitation learning, decision trees, etc) to these problems; scale them to Google-sized data pipelines; and streamline them to run in real-time on the cars.
Collaborate with other teams, including the ML infrastructure, perception and systems engineering teams, as well as various research teams such as Waymo research, Google Brain, DeepMind and academia.

At a minimum weâd like you to have:

MS/PHD in Computer Science, Robotics, similar technical field of study, or equivalent practical experience
Experience solving problems using Machine Learning with Tensorflow or equivalent tools
Ability to collaborate within and across teams
Strong experience programming in C++ with robust and efficient code

Itâs preferred if you have:


Experience specifically with applying Machine Learning to solve motion planning or related robotics problems


Experience with Deep Learning Models (e.g. RNN/LSTM, CNN, VAE, GAN, etc.)




"
"Software Engineer, ML Compiler/Performance/Tooling, Machine Learning Platform","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The ML Platform team at Waymo provides a set of tools and technologies to support and automate the lifecycle of the machine learning workflow, including feature and experiment management, and model development, debugging & evaluation, deployment, and monitoring. These efforts have resulted in making machine learning more accessible to teams at Waymo, including Perception, Behavior Prediction, Planner, Routing, Maps and Research, ensuring greater degrees of consistency and repeatability, and addressing the âlast mileâ of getting models into production and managing them once they are in place. We work hand in hand with machine learning experts in all parts of the company as well as our collaborators across Alphabet.
We are looking for engineers with strong ML compiler, runtime, accelerator, embedded systems or performance background to help us improve compute performance on our car and build the software stack for the next-gen accelerator. Non-exhaustive examples of the types of work you will work on:

Collaborate with hardware architects, software engineers and ML practitioners to understand the hardware architecture/requirements as well as new research directions to bridge the gap between ML research and hardware
Architect and develop the compiler for Waymoâs next-gen accelerator to power inference of deep nets and compute workloads on to this architecture with an emphasis on performance
ML performance tuning through hardware/software co-play
Build tools to analyze workloads and improve performance

If you have any one of the skills below, please feel free to contact us!

Passion for developing and optimizing compilers for modern architectures (MLIR etc.); Working knowledge of compiler architecture front-end and middle-end optimizations, scheduling, register allocation, and back-end code generation
Performance analysis and optimization
Embedded / real time / robotics systems
Experience with implementing neural networks inference and compute workloads on dedicated SOC or GPU
ML acceleration ( compression, quantization, pruning etc.) 

"
"Software Engineer, ML Performance, Compute","
      Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
Hardware Engineering is a diverse, innovative, and collaborative group of electrical, mechanical, reliability, software and vehicle engineers. We design, build, and perfect the products which are the eyes and ears of Waymo's self-driving systems, and integrate those products into vehicle platforms. We're seeking curious and talented teammates to keep us moving in the right direction.
In this role, you'll:

Work with software teams on improving the latency and throughput of machine learning and deep-net workloads on onboard hardware
Model, benchmark, and optimize neural network performance on specialized inference hardware. Overcome hardware utilization bottlenecks through software/hardware codesign
Guide the development of future hardware solutions tailored to meet the needs of Waymoâs unique machine learning requirements

At a minimum weâd like you to have:

BS degree in Computer Science/Electrical Engineering or equivalent practical experience
3+ years of industry experience optimizing neural network performance on specialized hardware
Knowledge of computer architecture, compilers, and neural network performance characteristics
Experience optimizing and analyzing linear algebra routines used in deep learning or otherwise

"
"Software Engineer, Onboard Infrastructure - Android System Software","
Waymo is a self-driving technology company with a mission to make it safe and easy for people and things to get where theyâre going. Since our start as the Google Self-Driving Car Project in 2009, Waymo has been focused on building the Worldâs Most Experienced Driver in hopes of improving the world's access to mobility while saving thousands of lives now lost to traffic crashes. Our Waymo Driver powers Waymo One, our autonomous ride-hailing service, as well as Waymo Via, our trucking and local delivery service. To date, Waymo has driven over 20 million miles autonomously on public roads across 25 U.S. cities and conducted over 15 billion miles of simulation testing.
The Waymo Onboard Infrastructure team is responsible for low-level software and infrastructure on various components of the Waymo self-driving system.  The teamâs scope covers everything from low-level system software to high-bandwidth data logging, IPC (low-latency and high-throughput), performance analysis, full-system debugging, etc. We work closely with the Hardware, Sensor, Perception, Behavior/Planning and Machine-Learning teams to build the most performant and low-latency self-driving solution in the industry.
We are looking for strong Software Engineers to develop and deploy Android System Software and firmware on a high-end Infotainment platform based on Android Auto. This device aims to inspire trust in the self-driving system by visualizing the sensor data and car actions in a meaningful and beautiful way.
In this Systems Software Engineering role, you will:

Integrate and port SoC Android BSP to Waymo hardware platforms
Bring-up new hardware device(s) to run Android OS, working with SoC vendors and other partners
Work with the Vehicle Integration team to enable needed functionality in Android-based devices (e.g. rear-view camera, multiple displays, etc.)
Develop, review, port, test, and debug Linux device drivers and Android HAL implementations
Ensure the stability and robustness of the System Software through production and launch
Work effectively across a variety of engineering teams and SoC partners to resolve issues
Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Improve the quality, functionality and security of the platform and devices

At a minimum weâd like you to have: 

BA/BS degree in Computer Science, Computer Engineering or relevant technical field or equivalent practical experience
5+ years of relevant work experience.
Development experience within embedded systems/firmware design
Experience coding in C/C++
Experience with Linux kernel and device driver development
Experience in dealing with complex systems and codebases (HALs, sub-systems, etc)
Experience bringing up Android devices
Experience with Android system software and Android HALs

Itâs preferred if you have:

MS or PhD degree in Computer Science, Computer Engineering, Electrical Engineering or related field
Experience with ARM SoCs, Linux Kernel and Embedded Software
Experience with working with multiple types of industry partners (CM, ODM, OEM, ISV, etc.)
Working knowledge of at least one of the following technologies: Ethernet AVB, Audio HW Codecs, A/V processing (e.g. DSP), Display/Camera serializer/deserializers, Secure Boot
Experience with common peripheral bus technologies including SPI, I2C, UART, etc.
Knowledge of one or more of the following: Microcontrollers, SoC, device drivers, hardware bringup, power management, ARM processors, performance optimization, bootloading, hardware/software integration.
Experience with Android frameworks
Motivated with an inclination to take on complex and ambiguous problems

"
